,id,name,short_description,gender,country,occupation,birth_year,death_year,manner_of_death,age_of_death,agerange
79079,Q541659,Paul Chambers,musician,Male,United States of America,Artist,1935,1969.0,natural causes,34.0,30-39
79096,Q541758,Elisa Fernandes,actress,Female,Brazil,Artist,1950,1993.0,,43.0,40-49
79114,Q541831,Nancy Graves,artist,Female,United States of America,Artist,1939,1995.0,natural causes,56.0,50-59
79149,Q542058,Grant Williams,actor,Male,United States of America,Artist,1931,1985.0,natural causes,54.0,50-59
79240,Q542763,J. G. Farrell,writer,Male,United Kingdom,Artist,1935,1979.0,,44.0,40-49
79276,Q543001,Jacinto Esteva Grewe,film,Male,Spain,Artist,1936,1985.0,,49.0,40-49
79314,Q543294,Mike Kelley,artist,Male,United States of America,Artist,1954,2012.0,suicide,58.0,50-59
79375,Q543613,Michel Berger,singer,Male,France,Artist,1947,1992.0,natural causes,45.0,40-49
79521,Q544508,Angus MacLise,musician,Male,United States of America,Artist,1938,1979.0,natural causes,41.0,40-49
79744,Q546035,Richard Manuel,musician,Male,Canada,Artist,1943,1986.0,suicide,43.0,40-49
79880,Q547020,Monica Morell,singer,Female,Switzerland,Artist,1953,2008.0,natural causes,55.0,50-59
80032,Q548149,Gérard Grisey,composer,Male,France,Artist,1946,1998.0,,52.0,50-59
80035,Q548160,Benjamin Orr,musician,Male,United States of America,Artist,1947,2000.0,natural causes,53.0,50-59
80044,Q548189,Tina Hedström,actress,Female,Sweden,Artist,1942,1984.0,,42.0,40-49
80051,Q548251,Tamara Danz,singer,Female,Germany; German Democratic Republic,Artist,1952,1996.0,natural causes,44.0,40-49
80220,Q549611,Attila Hazai,writer,Male,Hungary,Artist,1967,2012.0,suicide,45.0,40-49
80286,Q550202,Candy Darling,actress,Transgender Female,United States of America,Artist,1944,1974.0,natural causes,30.0,18-29
80489,Q551439,Patrick Dewaere,actor,Male,France,Artist,1947,1982.0,suicide,35.0,30-39
80530,Q551634,Jani Lane,musician,Male,United States of America,Artist,1964,2011.0,,47.0,40-49
80531,Q551635,Càstor Pérez Diz,musician,,Spain,Artist,1955,2010.0,,55.0,50-59
80670,Q552338,Sohrab Rahimi,poet,Male,Sweden,Artist,1962,2016.0,,54.0,50-59
80801,Q552981,Jack Chambers,artist,Male,Canada,Artist,1931,1978.0,,47.0,40-49
80915,Q553657,Edward Stachura,poet,Male,Poland,Artist,1937,1979.0,suicide,42.0,40-49
80926,Q553704,Cameron Boyce,actor,Male,United States of America,Artist,1999,2019.0,natural causes,20.0,18-29
80964,Q553921,Rahsaan Roland Kirk,musician,Male,United States of America,Artist,1935,1977.0,natural causes,42.0,40-49
